Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010,Desagregação BRANCO Esperança de vida ao nascer Censo,Desagregação BRANCO Mortalidade infantil Censo,Desagregação BRANCO Taxa de analfabetismo - 18 anos ou mais de idade Censo,Desagregação BRANCO Renda per capita Censo,Desagregação HOMEM Esperança de vida ao nascer Censo,Desagregação HOMEM Mortalidade infantil Censo,Desagregação HOMEM Taxa de analfabetismo - 18 anos ou mais de idade Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER Esperança de vida ao nascer Censo,Desagregação MULHER Mortalidade infantil Censo,Desagregação MULHER Taxa de analfabetismo - 18 anos ou mais de idade Censo,Desagregação MULHER Renda per capita Censo,Desagregação NEGRO Esperança de vida ao nascer Censo,Desagregação NEGRO Mortalidade infantil Censo,Desagregação NEGRO Taxa de analfabetismo - 18 anos ou mais de idade Censo,Desagregação NEGRO Renda per capita Censo
Acre,71.63,23.01,17.79,522.15,72.76,21.08,13.71,762.04,68.08,24.06,19.27,529.86,74.9,21.87,16.55,514.41,71.42,23.09,18.71,458.88
Alagoas,70.32,28.4,26.09,432.56,71.18,25.2,19.28,634.46,65.46,30.02,26.95,431.24,74.33,26.44,24.26,433.81,70,29.21,28.4,340.98
Amapá,73.8,15.14,9.09,598.98,75.1,12.21,6.5,803.69,69.31,16.02,9.07,602.7,78.11,14.22,8.63,595.25,73.42,16.04,9.55,540.27
Amazonas,73.3,17.01,10.47,539.8,73.98,15.58,6.65,922.61,69.66,17.76,10.94,546.86,76.52,16.17,10.31,532.64,73.27,17.07,10.44,454.61
Bahia,71.97,21.73,17.73,496.73,73,19.28,14.79,784.95,67.6,22.84,18.17,500.43,75.64,20.41,16.69,493.16,71.72,22.35,18.16,414.76
Ceará,72.6,19.29,20.14,460.63,73.44,17.45,14.44,662.3,68.46,20.14,22.49,459.06,75.8,18.19,16.98,462.12,72.32,19.93,22.05,365.54
Distrito Federal,77.35,14.01,3.66,1715.11,77.82,,2.43,2449.5,73.44,,3.85,1763.13,81.08,,3.81,1671.1,77,,4.87,1173.85
Espírito Santo,75.1,14.15,8.62,815.43,75.96,12.61,6.37,1103.34,70.32,14.92,8.02,827.34,79.17,13.25,8.98,803.92,74.66,14.97,10.2,603.96
Goiás,74.6,13.96,8.46,810.97,75.55,12.28,6.25,1042.11,70.72,14.57,8.51,830.1,77.84,13.23,7.97,792.16,74.06,14.97,9.78,636.89
Maranhão,70.4,28.03,22.51,360.34,72.88,24.65,16.26,579.73,66.29,29.27,24.19,360.71,73.52,26.39,20.11,359.97,70.17,28.7,23.72,298.18
Mato Grosso do Sul,74.96,18.14,8.21,799.34,75.49,16.88,5.59,1039.67,70.78,18.94,7.75,813.79,78.26,17.13,8.31,785.1,74.91,18.26,9.87,596.88
Mato Grosso,74.25,16.8,9.07,762.52,75.57,15.53,5.72,1040.55,70.28,17.51,9.24,777.77,77.4,15.9,8.86,746.74,73.67,16.85,10.82,599.03
Minas Gerais,75.3,15.08,8.83,749.69,76.17,13.43,5.89,1006.29,71.25,15.72,8.47,765.02,78.5,14.27,8.96,734.89,74.86,15.96,11.2,535.12
Paraíba,72,21.67,23.39,474.94,72.9,19.53,17.78,625.18,67.22,22.57,26.22,471.61,75,20.23,19.86,478.08,71.64,22.56,26.26,375.09
Paraná,74.8,13.08,6.69,890.89,75.19,12.46,4.89,1012.17,70.35,13.68,5.73,900.23,78.22,12.3,7.4,881.89,74.16,14.13,10.94,573.05
Pará,72.36,20.29,12.58,446.76,73.53,17.74,9.36,687.19,68.41,21.27,13.85,446.92,75.87,19.18,11.2,446.59,72.06,20.97,13.32,380.18
Pernambuco,72.32,20.43,19.12,525.64,72.69,18.13,14.49,753.71,67.88,21.44,20.03,528.59,75.91,19.18,17.39,522.91,72.18,21.01,21.04,392.25
Piauí,71.62,23.05,24.55,416.93,72.76,20.27,18.16,623.77,67.36,23.72,26.49,408.61,73.69,21.68,21.45,424.95,71.28,23.6,25.76,349.84
Rio de Janeiro,75.1,14.15,4.47,1039.3,76.35,11.88,3.08,1445.9,70.88,14.86,4.19,1048.19,78.88,13.35,4.66,1031.2,74.46,15.38,5.74,667.27
Rio Grande do Norte,72.52,19.7,19.74,545.42,73.14,18.18,14.38,709.3,67.77,20.51,22.37,535.92,75.51,18.41,16.02,554.52,72.18,20.56,22.26,430.42
Rio Grande do Sul,75.38,12.38,4.75,959.24,75.79,11.76,3.91,1038.03,71.15,12.91,4.51,966.01,78.58,11.69,4.86,952.84,74.19,14.29,8.71,558.81
Rondônia,72.97,18.02,9.42,670.82,73.95,16.51,7.56,852.29,69.18,18.85,9.57,692.53,76.35,17.08,9.83,648.52,72.3,18.09,10.63,569.4
