Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Abadia de Goiás (GO),74.82,13.4,8.36,574.96
Abadia dos Dourados (MG),75.35,14.8,9.67,596.18
Abadiânia (GO),75.46,12.6,11.67,519.87
Abaeté (MG),75.9,14,9.28,707.24
Abaetetuba (PA),72.89,19,14.97,293.01
Abaiara (CE),69.87,26.9,31.89,229.74
Abaíra (BA),69.76,28.1,20.6,290.53
Abaré (BA),71.55,22.9,29.03,220.16
Abatiá (PR),73.23,16.2,18.07,535.86
Abdon Batista (SC),73.74,15.4,10.4,485.35
Abelardo Luz (SC),76.1,12.1,11.96,562.88
Abel Figueiredo (PA),73,18.35,19.24,390.12
Abre Campo (MG),74.36,16.3,13.1,444.32
Abreu E Lima (PE),72.46,20.1,10.7,390.4
Abreulândia (TO),75.12,13.7,14.19,624.03
Acaiaca (MG),74.36,16.3,14.95,357.03
Açailândia (MA),72.07,23.2,19.22,438.56
Acajutiba (BA),68.39,32.6,24.1,260.46
Acará (PA),70.44,25.6,22.85,199.34
Acarape (CE),67.56,34.4,23.53,259.03
Acaraú (CE),70.47,25.1,31.56,250.79
Acari (RN),71.73,21.7,18.9,410.61
Acauã (PI),66.53,39.8,32.67,199.35
Aceguá (RS),76.14,12,6.8,633.63
Acopiara (CE),68.41,31.5,35.07,266.65
Acorizal (MT),73.98,17,25.51,321.58
Acrelândia (AC),73.45,18.3,17.11,303.76
Acreúna (GO),74.29,14.2,15.57,664.09
Açucena (MG),75.66,14.3,21.44,325.42
Açu (RN),72.69,21.19,23.91,432.38
Adamantina (SP),76.13,12,6.44,975.43
Adelândia (GO),75.17,13,15.35,497.31
Adolfo (SP),75.62,13.8,8.55,661.65
Adrianópolis (PR),74.02,14,18.36,440.79
Adustina (BA),68.07,33.7,38.38,211.37
Afogados da Ingazeira (PE),73.39,17.8,24.83,386.56
Afonso Bezerra (RN),67.76,33.9,32.61,261.3
Afonso Cláudio (ES),74.51,14.8,15.27,489.59
Afonso Cunha (MA),68.48,34.4,38.74,149.78
Afrânio (PE),70.68,24.9,27.97,233.59
Afuá (PA),71.43,22.8,31.73,163.98
Agrestina (PE),70.57,25.3,34.87,297.02
Agricolândia (PI),69.53,29.3,29.51,245.68
Agrolândia (SC),74.63,14.1,5.37,739.1
Agronômica (SC),78.06,9.7,6,985.65
Água Azul do Norte (PA),72.83,19.1,12.56,266.02
Água Boa (MG),72.94,18.7,30.15,322.12
Água Boa (MT),74.71,15.8,8.18,720.74
Água Branca (AL),68.7,33.8,33.78,213
Água Branca (PB),67.72,34.9,28.75,233.65
Água Branca (PI),70.79,25.5,25.77,335.63
Água Clara (MS),74.4,18.8,9.66,642.97
Água Comprida (MG),76.58,13,8.41,701.19
Água Doce do Maranhão (MA),66.81,40.6,39.1,172.55
Água Doce do Norte (ES),74.13,15.3,21.59,377.39
Água Doce (SC),74.2,14.7,7.74,722.21
Água Fria (BA),69.79,28,29.7,215.12
Água Fria de Goiás (GO),74.01,14.6,15.98,525.2
Aguaí (SP),76.49,12.5,8.17,636.07
Água Limpa (GO),74.24,14.2,10.79,591.23
Aguanil (MG),75.7,14.3,13.93,524.43
Água Nova (RN),71.56,22.2,24.91,212.82
Água Preta (PE),70.64,25,33.18,195.47
Água Santa (RS),76,11.4,5.72,1491.17
Águas Belas (PE),66.44,39,42.91,239.3
Águas da Prata (SP),78.13,9.6,6.4,853.39
Águas de Chapecó (SC),73.66,15.5,6.8,673.13
Águas de Lindóia (SP),75.76,12.5,6.29,730.13
Águas de Santa Bárbara (SP),75.41,13,5.46,818.15
Águas de São Pedro (SP),78.37,9.3,1.48,1580.72
Águas Formosas (MG),73.63,17.5,26.44,389.57
Águas Frias (SC),76.61,11.4,9.67,743.13
Águas Lindas de Goiás (GO),75.85,11.62,7.58,449.38
Águas Mornas (SC),76.15,12,6.24,754.54
Águas Vermelhas (MG),73.46,17.8,30.09,306.97
Agudo (RS),75.84,12.4,7.14,861.06
Agudos do Sul (PR),72.41,16.4,9.55,519.63
Agudos (SP),75.67,13.7,5.57,642.59
Águia Branca (ES),72.53,17.7,15.89,487.28
Aguiarnópolis (TO),73.21,18,18.32,374.27
Aguiar (PB),70.17,26.9,40.28,407.32
Aimorés (MG),73.58,17.6,15.42,567.46
Aiquara (BA),69,30.6,25.79,283.24
Aiuaba (CE),69.96,26.6,37.21,200.6
Aiuruoca (MG),77.23,12.1,14.85,539.92
Ajuricaba (RS),75.98,12.2,5.33,925.7
Alagoa Grande (PB),72.83,19.5,37.49,287.94
Alagoa (MG),74.93,15.4,15.38,413.75
Alagoa Nova (PB),69.93,27.6,30.72,272.81
Alagoinha do Piauí (PI),67.95,34.6,46.9,222.87
Alagoinha (PB),72.72,19.8,38.44,284.64
Alagoinha (PE),73.04,18.6,28.42,275.5
Alagoinhas (BA),72.39,21.84,10.68,553.17
Alambari (SP),73.27,17.5,7.06,556.36
Albertina (MG),73.76,17.3,12.67,564.08
Alcântara (MA),70.18,28.8,24.16,209.27
Alcântaras (CE),70.07,26.3,31.78,243.73
Alcantil (PB),70.91,24.7,33.02,245.01
Alcinópolis (MS),76.46,15.3,11.78,764.03
Alcobaça (BA),71.28,23.6,25.77,357.99
Aldeias Altas (MA),68.22,35.3,40.35,179.92
Alecrim (RS),76.13,11.3,8.37,561.62
Alegre (ES),75.35,13.6,14.4,655.72
Alegrete do Piauí (PI),69.94,28,37.95,268.12
Alegrete (RS),75.93,11.5,6.3,705.29
Alegria (RS),74.07,14,10.62,692.76
Além Paraíba (MG),76.43,13.2,6.69,674.5
Alenquer (PA),71.72,22,17.15,215.33
Alexandria (RN),71.71,21.8,35.57,296.5
Alexânia (GO),75.48,12.5,12.56,498.09
Alfenas (MG),75.45,14.6,6.12,783.41
Alfredo Chaves (ES),74.93,14.2,8.33,634.97
Alfredo Marcondes (SP),75.41,14.1,10.66,558.38
Alfredo Vasconcelos (MG),75.01,15.3,10.66,400.14
Alfredo Wagner (SC),77.9,9.8,10.14,630.54
Algodão de Jandaíra (PB),69.93,27.6,35.45,218.7
Alhandra (PB),71.69,22.5,28.3,236.14
Aliança do Tocantins (TO),73.04,18.4,15.71,357.08
Aliança (PE),72.93,18.9,29.2,269.86
Almadina (BA),70.07,27.2,34.22,265.39
Almas (TO),72.74,19.1,24.03,369.39
Almeirim (PA),73.55,17.4,14.85,484.16
Almenara (MG),73.18,18.3,23.28,419.98
Almino Afonso (RN),69.32,28.8,26.71,291.3
Almirante Tamandaré do Sul (RS),74.67,13.2,4.5,760.16
Almirante Tamandaré (PR),75.39,12.96,6.51,646.02
Aloândia (GO),75.02,13.1,15.65,599.9
Alpercata (MG),74.43,16.2,17.45,401.21
Alpestre (RS),72.69,16.1,13.54,625.11
Alpinópolis (MG),76.71,12.8,8.14,633.91
Alta Floresta D'Oeste (RO),70.75,23.8,13,476.99
Alta Floresta (MT),73.99,17,9.54,660.84
Altair (SP),73,18,10.8,616.38
Altamira do Maranhão (MA),68.16,35.6,35.86,164.24
Altamira do Paraná (PR),71.79,18.6,19.08,506.31
Altamira (PA),73.64,17.27,13.41,492.05
Altaneira (CE),71.41,22.5,34.7,240.97
Alterosa (MG),75.83,14.1,11,475.99
Altinho (PE),72.54,19.9,36.89,259.21
Altinópolis (SP),75.57,13.9,6.43,731.49
Alto Alegre do Maranhão (MA),69.62,30.6,31.68,198.43
Alto Alegre do Pindaré (MA),71.44,25,35.6,144.91
Alto Alegre dos Parecis (RO),71.64,21.4,14.86,341.22
Alto Alegre (RR),73.78,15.6,40.86,201.32
Alto Alegre (RS),76.52,10.8,7.86,880.85
Alto Alegre (SP),74,16.3,9,560.3
Alto Araguaia (MT),73.13,18.4,9.19,671.99
Alto Bela Vista (SC),77.93,9.8,4.24,770.49
Alto Boa Vista (MT),73.2,18.3,12.56,362.66
Alto Caparaó (MG),75.54,14.5,11.99,505.1
Alto do Rodrigues (RN),72.98,18.6,20.47,447.67
Alto Feliz (RS),78.14,8.9,2.69,802.2
Alto Garças (MT),75.08,15.2,9.91,651.91
Alto Horizonte (GO),75.48,12.5,13.29,661.19
Alto Jequitibá (MG),72.21,20,11.22,486.73
Alto Longá (PI),70.05,27.7,35.42,272.28
Altônia (PR),75.88,11.6,10.83,585.49
Alto Paraguai (MT),72.01,20.4,15.71,360.06
Alto Paraíso de Goiás (GO),74.16,14.3,12.09,719.11
Alto Paraíso (PR),74.74,13.9,15.65,540.24
Alto Paraíso (RO),73.22,17.4,12.83,498.49
Alto Paraná (PR),75.76,11.7,11.12,548.25
Alto Parnaíba (MA),72.07,23.2,23.34,559.61
Alto Piquiri (PR),72.86,16.8,14.86,515.07
Alto Rio Doce (MG),74.7,15.8,15.78,323.95
Alto Rio Novo (ES),73.89,15.6,18.22,413.59
Alto Santo (CE),71.44,22.4,32.46,265.07
Altos (PI),71.03,24.8,27.91,314.48
Alto Taquari (MT),74.95,15.4,7.06,781.26
Alumínio (SP),75.47,14,4.91,747.27
Alvarães (AM),71.69,20.8,22.53,178.67
Alvarenga (MG),72.85,18.8,19.29,312.46
Álvares Florence (SP),73.35,17.4,10.03,627.14
Álvares Machado (SP),75.03,14.7,7.47,672.03
Álvaro de Carvalho (SP),73.31,17.5,9.24,512.99
Alvinlândia (SP),72.48,18.9,11.21,710.49
Alvinópolis (MG),74.34,16.4,11.97,460.96
Alvorada de Minas (MG),72.65,19.2,22.29,277.99
Alvorada D'Oeste (RO),70.75,23.8,14.11,469.26
Alvorada do Gurguéia (PI),69.96,28,28.42,203.23
Alvorada do Norte (GO),74.15,14.4,18.81,429.63
Alvorada do Sul (PR),74.55,13.3,10.92,605.41
Alvorada (RS),77.41,9.77,4.15,600.48
Alvorada (TO),75.55,12.9,10.9,539.26
Amajari (RR),73.9,15.3,39.65,121.32
Amambai (MS),74.07,19.4,12.03,561.14
Amapá (AP),72.4,18.3,12.11,406.9
Amapá do Maranhão (MA),66.29,42.6,36.13,182.63
Amaporã (PR),72.09,16.9,14.12,441.01
Amaraji (PE),69.89,27.3,33.46,286.59
Amaral Ferrador (RS),73.13,15.4,12.92,499.77
Amaralina (GO),73.75,14.9,16.85,276.05
Amarante do Maranhão (MA),67.93,36.4,30.83,231.79
Amarante (PI),70,27.8,29.96,284.71
Amargosa (BA),73.4,18.1,22.48,369.84
Amaturá (AM),71.36,21.7,24.66,178.69
Amélia Rodrigues (BA),73.59,17.7,14.13,354.66
América Dourada (BA),70.05,27.2,30.11,186.1
Americana (SP),77.55,10.77,2.85,1161.68
Americano do Brasil (GO),73.77,14.9,16.63,512.95
Américo Brasiliense (SP),76.12,13.1,7.38,659.67
Américo de Campos (SP),74.04,16.2,8.34,686.56
Ametista do Sul (RS),73.54,14.8,12.25,611.2
Amontada (CE),70.63,24.6,28.45,182.47
Amorinópolis (GO),73.79,14.9,19.36,523.25
Amparo de São Francisco (SE),68.66,31.9,25.83,275.32
Amparo do Serra (MG),73.63,17.5,18.03,368.72
Amparo (PB),70.14,27,23.43,225.5
Amparo (SP),77.27,10.6,4.92,1027.6
Ampére (PR),74.45,13.4,8.01,618.76
Anadia (AL),70.35,28.4,39.1,239.53
Anagé (BA),71.27,23.7,36.62,243.52
Anahy (PR),75.66,11.8,12.66,520.88
Anajás (PA),71.43,22.8,36.1,186.88
Anajatuba (MA),70.69,27.2,29.52,207.65
Analândia (SP),76.66,11.4,6.99,823.33
Anamã (AM),69.48,27,17.42,226.82
Ananás (TO),73.23,17.9,21.03,380.36
Ananindeua (PA),74.24,17.17,3.62,564.76
Anápolis (GO),74.33,15.14,6.14,785.17
Anapu (PA),72.25,20.6,20.98,266.28
Anapurus (MA),70.85,26.7,32.27,192.8
Anastácio (MS),72.33,22.8,12.4,495.48
Anaurilândia (MS),74.58,18.5,12.81,538.13
Anchieta (ES),76.35,12.3,7.16,608.42
Anchieta (SC),73.01,16.6,7.72,636.15
Andaraí (BA),70.84,24.9,29.16,230.36
Andirá (PR),75.25,12.4,10.71,587.51
Andorinha (BA),68.88,30.9,27.88,305.81
Andradas (MG),77.69,11.5,8.96,754.39
Andradina (SP),78.07,9.6,6.17,919.36
André da Rocha (RS),75.19,13.3,6.95,792.19
Andrelândia (MG),74.06,16.8,11.52,534.68
Angatuba (SP),74.6,15.4,7.01,597.99
Angelândia (MG),70.36,23.5,28.17,322.8
Angélica (MS),75.34,17.2,12.86,592.27
Angelim (PE),70.08,26.7,35.92,253.26
Angelina (SC),72.82,16.9,11.13,618.55
Angical (BA),71.67,22.6,26.78,266.89
Angical do Piauí (PI),69.2,30.4,26.79,356.17
Angicos (RN),70.34,25.6,28.14,347.65
