;NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_COR_RACA;TP_ESCOLA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q012;Q019;Q025
0;210061449838;2023;4;F;Amarela;Não Respondeu;PA;491.8;560.3;547.3;508.2;940.0;D;E;C;Sim, uma;Sim, duas;Sim
1;210059480139;2023;11;F;Preta;Pública;AM;;;;;;A;B;B;Sim, uma;Sim, uma;Não
2;210061231202;2023;3;M;Branca;Não Respondeu;AL;510.0;607.2;549.2;617.2;880.0;F;E;C;Sim, uma;Sim, uma;Sim
3;210061935276;2023;3;F;Parda;Pública;MA;;;;;;H;E;B;Sim, uma;Não;Não
4;210060397975;2023;6;F;Branca;Não Respondeu;MG;470.4;486.1;510.3;608.0;540.0;B;E;B;Sim, uma;Sim, uma;Sim
5;210060467521;2023;1;F;Amarela;Não Respondeu;SP;551.1;633.9;622.4;662.0;740.0;E;F;N;Sim, uma;Não;Sim
6;210058497741;2023;4;F;Parda;Não Respondeu;RO;419.4;428.6;436.4;388.0;640.0;B;E;E;Sim, uma;Sim, duas;Sim
7;210058221075;2023;4;F;Parda;Não Respondeu;GO;502.7;512.3;531.0;661.3;860.0;C;F;D;Sim, uma;Sim, três;Sim
8;210060751036;2023;17;M;Branca;Não Respondeu;RJ;591.8;575.0;529.0;459.6;460.0;B;B;C;Sim, uma;Sim, uma;Sim
9;210059316775;2023;12;F;Parda;Não Respondeu;BA;;;;;;B;B;B;Sim, uma;Sim, uma;Sim
10;210061324559;2023;4;F;Parda;Não Respondeu;AM;;;;;;E;D;C;Sim, uma;Sim, uma;Sim
11;210060155208;2023;1;F;Parda;Não Respondeu;BA;480.3;546.4;517.7;602.8;920.0;E;E;B;Sim, uma;Sim, uma;Sim
12;210059309697;2023;13;F;Parda;Não Respondeu;MG;;;;;;B;E;A;Sim, uma;Sim, uma;Sim
