;ESTACAO;DATA (YYYY-MM-DD);rain_max;rad_max;temp_avg;temp_max;temp_min;hum_max;hum_min;wind_max;wind_avg
2280308;A652;2020-01-01;0.0;3843.5;26.2375;31.8;22.7;83.0;46.0;11.8;2.5875
2280309;A652;2020-01-02;1.0;1578.6;25.275;28.3;22.8;86.0;61.0;10.3;1.8333333333333333
2280310;A652;2020-01-03;0.2;2146.0;23.58333333333333;25.7;21.9;90.0;73.0;10.7;2.6833333333333336
2280311;A652;2020-01-04;0.2;2521.3;24.45833333333333;27.9;22.6;89.0;64.0;9.5;2.145833333333333
2280312;A652;2020-01-05;0.8;3250.5;24.379166666666663;27.2;22.8;92.0;76.0;7.0;1.8
2280313;A652;2020-01-06;1.4;3904.0;25.6125;30.1;22.5;91.0;65.0;8.2;1.7041666666666666
2280314;A652;2020-01-07;0.2;3875.3;27.42083333333333;32.6;24.2;92.0;52.0;7.2;1.4416666666666669
2280315;A652;2020-01-08;0.0;3870.1;27.35833333333333;30.5;24.6;85.0;63.0;9.8;1.7958333333333334
2280316;A652;2020-01-09;0.0;3639.9;27.429166666666664;31.3;25.1;87.0;62.0;7.0;1.6958333333333335
2280317;A652;2020-01-10;0.0;3750.9;28.46666666666667;34.0;25.5;91.0;56.0;4.9;1.8625
2280318;A652;2020-01-11;0.0;3293.1;28.3;35.5;25.9;89.0;45.0;5.6;1.4764705882352942
2280319;A652;2020-01-14;0.0;3916.3;28.728571428571428;30.4;26.1;72.0;57.0;6.4;4.171428571428572
2280320;A652;2020-01-15;0.0;3918.9;28.444444444444443;30.7;26.5;75.0;53.0;12.0;5.944444444444445
2280321;A652;2020-01-16;0.0;3603.3;28.633333333333336;30.3;26.9;83.0;60.0;6.1;1.7
2280322;A652;2020-01-17;6.6;721.0;24.578260869565216;29.2;22.4;94.0;65.0;13.0;4.178260869565217
2280323;A652;2020-01-18;0.6;1747.3;23.047619047619047;26.6;20.4;93.0;67.0;7.4;1.9285714285714288
